Detector type	MS257_IN [um]	MS257_OUT [um]	Signal	Mirror pos.	Shut.	Timetr.[s]	Abs date and time
Keithley 	1.15000e+00 	1.15000e+00 	-0.447863	A	off	0006.03		181126 16:15:21.7899
Keithley 	1.15000e+00 	1.15000e+00 	-9.926519	B	off	0012.08		181126 16:15:27.8373
Keithley 	1.15500e+00 	1.15500e+00 	3.691266	A	off	0018.16		181126 16:15:33.9219
Keithley 	1.15500e+00 	1.15500e+00 	-3.869034	B	off	0024.27		181126 16:15:40.2604
Keithley 	1.16000e+00 	1.16000e+00 	-2.94954	A	off	0030.51		181126 16:15:46.2646
Keithley 	1.16000e+00 	1.16000e+00 	-2.724657	B	off	0036.59		181126 16:15:52.3501
Keithley 	1.16500e+00 	1.16500e+00 	-11.14074	A	off	0042.67		181126 16:15:58.4296
Keithley 	1.16500e+00 	1.16500e+00 	-0.0024	B	off	0048.80		181126 16:16:04.5566
Keithley 	1.17000e+00 	1.17000e+00 	-6.477632	A	off	0055.03		181126 16:16:10.7929
Keithley 	1.17000e+00 	1.17000e+00 	7.263168	B	off	0061.14		181126 16:16:16.8971
