Detector type	MS257_IN [nm]	MS257_OUT [nm]	Signal	Mirror pos.	Shut.	Timetr.[s]	Abs date and time
GUV-541 (Δ) 		3.00000e+02 	3.00000e+02 	[ 0.6  0.4  0.1  1.7 -0.8]	?	off	0002.16		190924 15:26:37.3433
GUV-541 (Δ) 		3.20000e+02 	3.20000e+02 	[ 0.8 -1.3  0.1  0.8  0. ]	?	off	0004.36		190924 15:26:39.5393
GUV-541 (Δ) 		3.40000e+02 	3.40000e+02 	[-0.2  0.3 -1.1 -0.4  0.3]	?	off	0006.50		190924 15:26:41.6847
GUV-541 (Δ) 		3.60000e+02 	3.60000e+02 	[ 0.2 -0.4  0.6 -0.8  1.1]	?	off	0008.65		190924 15:26:43.8329
GUV-541 (Δ) 		3.80000e+02 	3.80000e+02 	[ 0.   0.8 -0.6  0.9  0.1]	?	off	0010.77		190924 15:26:45.9566
GUV-541 (Δ) 		4.00000e+02 	4.00000e+02 	[-0.4  0.2 -1.1 -0.4  0.9]	?	off	0012.98		190924 15:26:48.1639
GUV-541 (Δ) 		5.00000e+02 	5.00000e+02 	[ 0.4  0.3  0.5 -0.7 -0.2]	?	off	0015.21		190924 15:26:50.3892
GUV-541 (Δ) 		5.25000e+02 	5.25000e+02 	[ 1.   0.5 -0.1  0.8  0.8]	?	off	0017.39		190924 15:26:52.5761
GUV-541 (Δ) 		5.50000e+02 	5.50000e+02 	[ 0.2  0.7  0.6  0.2 -0.2]	?	off	0019.52		190924 15:26:54.6990
GUV-541 (Δ) 		5.75000e+02 	5.75000e+02 	[-0.6 -0.4  0.5  0.8 -1. ]	?	off	0021.64		190924 15:26:56.8259
GUV-541 (Δ) 		6.00000e+02 	6.00000e+02 	[ 0.8 -0.2 -0.1  1.1 -1.2]	?	off	0023.81		190924 15:26:58.9936
