Detector type	MS257_IN [um]	MS257_OUT [um]	Signal	Mirror pos.	Shut.	Timetr.[s]	Abs date and time
Keithley 	1.15000e+00 	1.15000e+00 	-8.605189	A	off	0004.63		181025 16:34:28.1744
Keithley 	1.15000e+00 	1.15000e+00 	-9.649301	B	off	0013.20		181025 16:34:36.7438
Keithley 	1.15500e+00 	1.15500e+00 	0.68071	A	off	0016.80		181025 16:34:40.3461
Keithley 	1.15500e+00 	1.15500e+00 	-9.315614	B	off	0025.42		181025 16:34:48.9693
Keithley 	1.16000e+00 	1.16000e+00 	1.83084	A	off	0029.03		181025 16:34:52.5733
Keithley 	1.16000e+00 	1.16000e+00 	3.78739	B	off	0037.69		181025 16:35:01.2300
Keithley 	1.16500e+00 	1.16500e+00 	-4.113066	A	off	0041.28		181025 16:35:04.8228
Keithley 	1.16500e+00 	1.16500e+00 	-3.430419	B	off	0049.89		181025 16:35:13.4376
Keithley 	1.17000e+00 	1.17000e+00 	-9.451475	A	off	0053.50		181025 16:35:17.4831
Keithley 	1.17000e+00 	1.17000e+00 	-7.612764	B	off	0062.13		181025 16:35:25.6755
Keithley 	1.17500e+00 	1.17500e+00 	9.92909	A	off	0065.77		181025 16:35:29.3114
