Detector type	MS257_IN [um]	MS257_OUT [um]	Signal	Mirror pos.	Shut.	Timetr.[s]	Abs date and time
Keithley 	1.00000e+00 	1.00000e+00 	-6.243738	A	off	0006.14		181205 16:19:28.1266
Agilent 	1.00000e+00 	1.00000e+00 	15.52848	A	off	0006.19		181205 16:19:28.1811
Keithley 	1.00000e+00 	1.00000e+00 	7.326414	B	off	0012.31		181205 16:19:34.3020
Agilent 	1.00000e+00 	1.00000e+00 	-15.9501	B	off	0012.33		181205 16:19:34.3192
Keithley 	1.05000e+00 	1.05000e+00 	3.971955	A	off	0016.44		181205 16:19:38.4332
Agilent 	1.05000e+00 	1.05000e+00 	-5.57372	A	off	0016.45		181205 16:19:38.4454
Keithley 	1.05000e+00 	1.05000e+00 	18.70439	B	off	0020.55		181205 16:19:42.5420
Agilent 	1.05000e+00 	1.05000e+00 	-0.73404	B	off	0020.57		181205 16:19:42.5588
Keithley 	1.10000e+00 	1.10000e+00 	10.038	A	off	0024.64		181205 16:19:46.6290
Agilent 	1.10000e+00 	1.10000e+00 	2.2023	A	off	0024.65		181205 16:19:46.6419
Keithley 	1.10000e+00 	1.10000e+00 	17.3141	B	off	0028.72		181205 16:19:50.7111
Agilent 	1.10000e+00 	1.10000e+00 	-4.36214	B	off	0028.77		181205 16:19:50.7597
Keithley 	1.15000e+00 	1.15000e+00 	17.07971	A	off	0032.89		181205 16:19:54.8809
Agilent 	1.15000e+00 	1.15000e+00 	-9.894236	A	off	0032.91		181205 16:19:54.9016
Keithley 	1.15000e+00 	1.15000e+00 	6.597648	B	off	0036.96		181205 16:19:58.9498
Agilent 	1.15000e+00 	1.15000e+00 	-7.371173	B	off	0036.97		181205 16:19:58.9619
