Detector type	MS257_IN [nm]	MS257_OUT [nm]	Signal	Mirror pos.	Shut.	Timetr.[s]	Abs date and time
Keithley 	3.00000e+02 	3.00000e+02 	9.618046	A	off	0006.20		181206 11:30:39.2947
Agilent 	3.00000e+02 	3.00000e+02 	12.71121	A	off	0006.21		181206 11:30:39.4329
Keithley 	3.00000e+02 	3.00000e+02 	2.13329	B	off	0010.37		181206 11:30:43.2008
Agilent 	3.00000e+02 	3.00000e+02 	-5.46113	B	off	0010.38		181206 11:30:43.2117
Keithley 	3.05000e+02 	3.05000e+02 	1.85241	A	off	0014.50		181206 11:30:47.3284
Agilent 	3.05000e+02 	3.05000e+02 	-3.94048	A	off	0014.51		181206 11:30:47.3397
Keithley 	3.05000e+02 	3.05000e+02 	-7.84888	B	off	0017.57		181206 11:30:50.4044
Agilent 	3.05000e+02 	3.05000e+02 	-6.31488	B	off	0017.58		181206 11:30:50.4152
Keithley 	3.10000e+02 	3.10000e+02 	7.24134	A	off	0021.69		181206 11:30:54.5266
Agilent 	3.10000e+02 	3.10000e+02 	-16.37372	A	off	0021.72		181206 11:30:54.5501
Keithley 	3.10000e+02 	3.10000e+02 	-10.35894	B	off	0024.89		181206 11:30:57.7197
Agilent 	3.10000e+02 	3.10000e+02 	-7.847246	B	off	0024.90		181206 11:30:57.7372
Keithley 	3.15000e+02 	3.15000e+02 	4.33254	A	off	0029.00		181206 11:31:01.8297
Agilent 	3.15000e+02 	3.15000e+02 	-18.08573	A	off	0029.01		181206 11:31:01.8401
Keithley 	3.15000e+02 	3.15000e+02 	4.00987	B	off	0032.05		181206 11:31:04.8802
Agilent 	3.15000e+02 	3.15000e+02 	-10.67746	B	off	0032.06		181206 11:31:04.8917
