Detector type	MS257_IN [um]	MS257_OUT [um]	Signal	Mirror pos.	Shut.	Timetr.[s]	Abs date and time
Keithley 	1.15000e+00 	1.15000e+00 	3.199112	A	off	0006.07		181214 11:36:26.3182
Keithley 	1.15000e+00 	1.15000e+00 	3.24568	B	off	0012.17		181214 11:36:32.4180
Keithley 	1.15500e+00 	1.15500e+00 	-7.491194	A	off	0016.26		181214 11:36:36.5142
Keithley 	1.15500e+00 	1.15500e+00 	6.11984	B	off	0020.30		181214 11:36:40.5487
Keithley 	1.16000e+00 	1.16000e+00 	6.9777	A	off	0024.32		181214 11:36:44.5748
Keithley 	1.16000e+00 	1.16000e+00 	-10.81249	B	off	0028.39		181214 11:36:48.6382
Keithley 	1.16500e+00 	1.16500e+00 	2.55756	A	off	0032.48		181214 11:36:52.7276
Keithley 	1.16500e+00 	1.16500e+00 	6.92096	B	off	0036.53		181214 11:36:56.7845
Keithley 	1.17000e+00 	1.17000e+00 	-1.933934	A	off	0040.60		181214 11:37:00.8559
Keithley 	1.17000e+00 	1.17000e+00 	-11.89914	B	off	0044.67		181214 11:37:04.9210
Keithley 	1.17500e+00 	1.17500e+00 	-10.6665	A	off	0048.75		181214 11:37:08.9978
