Detector type	MS257_IN [nm]	MS257_OUT [nm]	Signal	Mirror pos.	Shut.	Timetr.[s]	Abs date and time
K2001A (Δ) 	3.00000e+02 	3.00000e+02 	-0.2944	A	off	0003.23		200713 13:11:10.2715
K2001A (Δ) 	3.00000e+02 	3.00000e+02 	-0.198	B	off	0006.57		200713 13:11:13.6133
K2001A (Δ) 	3.20000e+02 	3.20000e+02 	0.4017	A	off	0010.08		200713 13:11:17.1268
K2001A (Δ) 	3.20000e+02 	3.20000e+02 	1.1194	B	off	0013.48		200713 13:11:20.5245
K2001A (Δ) 	3.40000e+02 	3.40000e+02 	-0.4616	A	off	0016.82		200713 13:11:23.8662
K2001A (Δ) 	3.40000e+02 	3.40000e+02 	0.7866	B	off	0020.12		200713 13:11:27.1620
K2001A (Δ) 	3.60000e+02 	3.60000e+02 	-0.5074	A	off	0023.46		200713 13:11:30.4999
K2001A (Δ) 	3.60000e+02 	3.60000e+02 	-1.3049	B	off	0026.77		200713 13:11:33.8169
K2001A (Δ) 	3.80000e+02 	3.80000e+02 	-0.4199	A	off	0030.13		200713 13:11:37.1696
K2001A (Δ) 	3.80000e+02 	3.80000e+02 	0.1062	B	off	0033.44		200713 13:11:40.4821
K2001A (Δ) 	4.00000e+02 	4.00000e+02 	-0.8844	A	off	0036.75		200713 13:11:43.7964
K2001A (Δ) 	4.00000e+02 	4.00000e+02 	-0.4773	B	off	0040.01		200713 13:11:47.5196
K2001A (Δ) 	5.00000e+02 	5.00000e+02 	0.7893	A	off	0043.37		200713 13:11:50.4152
K2001A (Δ) 	5.00000e+02 	5.00000e+02 	-0.6591	B	off	0046.60		200713 13:11:53.6469
K2001A (Δ) 	5.25000e+02 	5.25000e+02 	0.8967	A	off	0049.89		200713 13:11:56.9321
K2001A (Δ) 	5.25000e+02 	5.25000e+02 	-0.4779	B	off	0053.25		200713 13:12:00.2938
K2001A (Δ) 	5.50000e+02 	5.50000e+02 	-1.4706	A	off	0056.54		200713 13:12:03.5807
K2001A (Δ) 	5.50000e+02 	5.50000e+02 	-0.6175	B	off	0059.77		200713 13:12:06.8145
K2001A (Δ) 	5.75000e+02 	5.75000e+02 	0.1786	A	off	0063.09		200713 13:12:10.1334
K2001A (Δ) 	5.75000e+02 	5.75000e+02 	0.5632	B	off	0066.37		200713 13:12:13.4172
K2001A (Δ) 	6.00000e+02 	6.00000e+02 	0.1983	A	off	0069.60		200713 13:12:16.6438
K2001A (Δ) 	6.00000e+02 	6.00000e+02 	0.3182	B	off	0072.91		200713 13:12:19.9536
