Your edit line - keep this line!
Wl[nm]	Volt.[V]	Pos.	Shut.	Timetr.[s]	Abs date and time
3.0000208e-07 	-0.1614485		A	1	0012.30		180602 18:33:20.5199
3.1999669e-07 	-0.994074		A	1	0016.52		180602 18:33:24.7200
3.3999358000000003e-07 	-0.789494		A	1	0020.69		180602 18:33:28.8700
3.5999601e-07 	-0.658354		A	1	0024.91		180602 18:33:33.1021
3.8000618e-07 	-0.584318		A	1	0029.12		180602 18:33:37.3191
3.9998716000000004e-07 	-0.276209		A	1	0039.81		180602 18:33:47.9863
4.1999418e-07 	-0.239127		A	1	0043.62		180602 18:33:51.8163
4.3998995000000004e-07 	-0.331925		A	1	0047.47		180602 18:33:55.6424
4.5999771e-07 	-0.276374		A	1	0051.27		180602 18:33:59.4844
4.8001291e-07 	-0.994604		A	1	0055.13		180602 18:34:03.3225
5.000037600000001e-07 	-0.743851		A	1	0059.02		180602 18:34:07.1945
