Detector type	MS257_IN [nm]	MS257_OUT [nm]	Signal	Mirror pos.	Shut.	Timetr.[s]	Abs date and time
Keithley 	300.00000 	300.00000 	1.945697e+00	A	off	0001.46		181020 17:08:46.4124
GUV 		300.00000 	300.00000 	[17.85228, 2.909436, 10.11289, 6.530146, 11.96224, 18.45852, 14.20006]	A	off	0001.56		181020 17:08:46.5128
Keithley 	300.00000 	300.00000 	8.170649e+00	B	off	0003.02		181020 17:08:47.9793
GUV 		300.00000 	300.00000 	[2.847398, 7.410958, 1.077833, 4.086979, 7.905004, 2.127791, 16.40935]	B	off	0003.12		181020 17:08:48.7989
Keithley 	301.00000 	301.00000 	1.941626e+01	A	off	0004.61		181020 17:08:49.5636
GUV 		301.00000 	301.00000 	[-0.3223346, 3.085249, 5.948559, 0.7248944, 3.330469, 5.978128, 15.00574]	A	off	0004.71		181020 17:08:49.6639
Keithley 	301.00000 	301.00000 	6.729133e+00	B	off	0006.15		181020 17:08:51.1035
GUV 		301.00000 	301.00000 	[18.79512, 11.38705, 16.31233, 15.17921, 0.3686277, 4.843886, 12.00236]	B	off	0006.25		181020 17:08:51.2040
Keithley 	302.00000 	302.00000 	9.219315e+00	A	off	0007.68		181020 17:08:52.6371
GUV 		302.00000 	302.00000 	[17.76895, 7.20463, 12.24792, 12.32284, 13.82549, 3.065987, 7.971931]	A	off	0007.78		181020 17:08:52.7375
Keithley 	302.00000 	302.00000 	6.826026e+00	B	off	0009.26		181020 17:08:54.2118
GUV 		302.00000 	302.00000 	[0.4865866, 12.07615, 8.230171, 3.696581, 13.25849, 17.29203, 16.75601]	B	off	0009.36		181020 17:08:54.3122
Keithley 	303.00000 	303.00000 	1.310007e+01	A	off	0010.82		181020 17:08:55.7777
GUV 		303.00000 	303.00000 	[9.562496, 1.559906, 4.56827, 9.742685, 4.150542, 14.32246, 10.38348]	A	off	0010.92		181020 17:08:55.8781
Keithley 	303.00000 	303.00000 	1.625925e+00	B	off	0012.36		181020 17:08:57.3113
GUV 		303.00000 	303.00000 	[1.977229, 7.452352, 0.4888086, 19.18312, 2.60558, 3.676348, 8.295618]	B	off	0012.46		181020 17:08:57.4118
Keithley 	304.00000 	304.00000 	7.895140e+00	A	off	0013.92		181020 17:08:58.8803
GUV 		304.00000 	304.00000 	[18.92389, 13.34035, 19.92141, 3.889563, 14.45661, 10.24236, 16.98745]	A	off	0014.03		181020 17:08:58.9808
Keithley 	304.00000 	304.00000 	7.286459e+00	B	off	0015.50		181020 17:09:00.4527
GUV 		304.00000 	304.00000 	[15.09946, 8.75499, 0.2223996, 10.4199, 9.373781, 14.26798, 4.498551]	B	off	0015.60		181020 17:09:00.5531
Keithley 	305.00000 	305.00000 	1.384145e+01	A	off	0017.05		181020 17:09:02.7160
GUV 		305.00000 	305.00000 	[4.834568, 14.49085, 16.09476, 13.63317, 4.934053, 2.121025, 1.18302]	A	off	0017.15		181020 17:09:02.1090
