Detector type	MS257_IN [um]	MS257_OUT [um]	Signal	Mirror pos.	Shut.	Timetr.[s]	Abs date and time
K2001A 	1.15000e+00 	1.15000e+00 	1.71769	A	on	0004.21		20.07.14 - 16:53:12.8663
Agilent 	1.15000e+00 	1.15000e+00 	1.652438	A	on	0004.33		20.07.14 - 16:53:12.9880
GUV-3511 		1.15000e+00 	1.15000e+00 	[0.8243, 0.2869, 1.412, 2.108, 0.3365, 0.5743, 1.173, 1.645, 1.698, 0.762, 0.7167, 0.5696, 1.418, 1.11, 1.034, 1.93, 1.688, 2.097, 1.279]	A	on	0004.44		20.07.14 - 16:53:13.9577
K2001A 	1.15500e+00 	1.15500e+00 	1.714568	A	on	0006.84		20.07.14 - 16:53:15.4976
Agilent 	1.15500e+00 	1.15500e+00 	0.5515539	A	on	0006.94		20.07.14 - 16:53:15.5982
GUV-3511 		1.15500e+00 	1.15500e+00 	[1.312, 1.262, 2.103, 1.068, 1.461, 0.2569, 0.2515, 1.134, 0.3508, 0.9456, 0.8738, 1.199, 1.63, 1.499, 1.278, 0.4111, 1.858, 1.084, 1.242]	A	on	0007.04		20.07.14 - 16:53:15.6994
K2001A 	1.16000e+00 	1.16000e+00 	1.964016	A	on	0009.44		20.07.14 - 16:53:18.1001
Agilent 	1.16000e+00 	1.16000e+00 	1.093276	A	on	0009.60		20.07.14 - 16:53:18.2570
GUV-3511 		1.16000e+00 	1.16000e+00 	[0.5095, 0.8759, 0.5468, 1.818, 1.866, 0.9703, 1.693, 0.2235, 0.7678, 0.7076, 2.105, 1.592, 2.0, 0.3821, 2.061, 0.2206, 2.128, 1.659, 1.271]	A	on	0009.73		20.07.14 - 16:53:18.3842
K2001A 	1.16500e+00 	1.16500e+00 	1.470715	A	on	0012.77		20.07.14 - 16:53:21.4321
Agilent 	1.16500e+00 	1.16500e+00 	0.7076562	A	on	0012.89		20.07.14 - 16:53:21.5445
GUV-3511 		1.16500e+00 	1.16500e+00 	[1.03, 1.039, 1.672, 0.6947, 0.196, 1.308, 1.724, 1.684, 0.715, 1.372, 1.984, 0.7216, 1.042, 1.159, 2.05, 0.8173, 0.768, 1.301, 0.4446]	A	on	0012.96		20.07.14 - 16:53:21.6198
K2001A 	1.17000e+00 	1.17000e+00 	1.196065	A	on	0015.23		20.07.14 - 16:53:23.8867
Agilent 	1.17000e+00 	1.17000e+00 	1.123035	A	on	0015.33		20.07.14 - 16:53:23.9881
GUV-3511 		1.17000e+00 	1.17000e+00 	[1.155, 0.1713, 1.651, 0.9455, 2.169, 0.1958, 2.013, 0.3265, 1.265, 0.4553, 0.6736, 1.739, 0.8488, 0.7643, 0.6687, 0.6715, 0.4067, 0.5849, 0.5788]	A	on	0015.94		20.07.14 - 16:53:24.5997
K2001A 	1.17500e+00 	1.17500e+00 	1.136793	A	on	0018.25		20.07.14 - 16:53:26.9112
Agilent 	1.17500e+00 	1.17500e+00 	2.072803	A	on	0018.41		20.07.14 - 16:53:27.6716
GUV-3511 		1.17500e+00 	1.17500e+00 	[0.3746, 1.541, 1.948, 0.2684, 1.32, 1.795, 0.5698, 1.9, 0.9595, 0.6032, 0.6843, 0.4964, 0.1823, 0.2895, 1.26, 0.3056, 1.558, 0.557, 1.585]	A	on	0018.54		20.07.14 - 16:53:27.2015
K2001A 	1.18000e+00 	1.18000e+00 	1.470882	A	on	0020.80		20.07.14 - 16:53:29.4551
Agilent 	1.18000e+00 	1.18000e+00 	1.403096	A	on	0021.00		20.07.14 - 16:53:29.6601
GUV-3511 		1.18000e+00 	1.18000e+00 	[0.3536, 0.5032, 0.8517, 1.838, 0.9424, 1.108, 0.8848, 1.194, 0.1838, 0.7015, 0.1811, 2.16, 0.3623, 0.3157, 0.6423, 1.953, 0.2276, 1.983, 0.3795]	A	on	0021.06		20.07.14 - 16:53:29.7137
K2001A 	1.18500e+00 	1.18500e+00 	1.594383	A	on	0023.40		20.07.14 - 16:53:32.5670
Agilent 	1.18500e+00 	1.18500e+00 	1.526056	A	on	0023.55		20.07.14 - 16:53:32.2051
GUV-3511 		1.18500e+00 	1.18500e+00 	[0.5471, 0.2023, 1.789, 0.6804, 1.731, 1.108, 0.672, 0.2853, 1.635, 0.3338, 0.7215, 1.179, 0.1872, 0.2985, 1.624, 1.462, 2.088, 0.2728, 0.9242]	A	on	0023.83		20.07.14 - 16:53:32.4896
K2001A 	1.19000e+00 	1.19000e+00 	1.654848	A	on	0026.15		20.07.14 - 16:53:34.8077
Agilent 	1.19000e+00 	1.19000e+00 	2.073686	A	on	0026.27		20.07.14 - 16:53:34.9253
GUV-3511 		1.19000e+00 	1.19000e+00 	[0.6859, 0.5827, 1.216, 0.6449, 0.534, 0.3844, 0.9276, 2.129, 1.773, 1.953, 0.9371, 1.704, 1.774, 0.7616, 1.254, 0.734, 0.7762, 1.309, 1.025]	A	on	0026.66		20.07.14 - 16:53:35.3157
K2001A 	1.19500e+00 	1.19500e+00 	1.558936	A	on	0028.91		20.07.14 - 16:53:37.5670
Agilent 	1.19500e+00 	1.19500e+00 	0.9860054	A	on	0029.02		20.07.14 - 16:53:37.6750
GUV-3511 		1.19500e+00 	1.19500e+00 	[0.2493, 1.484, 2.171, 1.141, 1.52, 1.969, 0.7116, 1.21, 1.414, 0.9139, 1.428, 0.4778, 0.6496, 0.9754, 1.249, 0.8107, 0.9364, 0.4402, 1.096]	A	on	0029.08		20.07.14 - 16:53:37.7354
K2001A 	1.20000e+00 	1.20000e+00 	0.7042239	A	on	0031.67		20.07.14 - 16:53:40.3293
Agilent 	1.20000e+00 	1.20000e+00 	1.853627	A	on	0031.78		20.07.14 - 16:53:40.4415
GUV-3511 		1.20000e+00 	1.20000e+00 	[1.935, 1.298, 1.163, 1.887, 1.931, 0.3972, 1.545, 2.123, 1.343, 1.47, 1.617, 0.584, 1.393, 0.5378, 0.8336, 1.153, 2.089, 1.38, 0.6492]	A	on	0031.89		20.07.14 - 16:53:40.5475
K2001A 	1.20500e+00 	1.20500e+00 	0.8041603	A	on	0034.38		20.07.14 - 16:53:43.3697
Agilent 	1.20500e+00 	1.20500e+00 	2.101314	A	on	0034.51		20.07.14 - 16:53:43.1678
GUV-3511 		1.20500e+00 	1.20500e+00 	[0.2908, 0.9285, 1.481, 0.4064, 0.9323, 0.8637, 0.2524, 0.4592, 1.918, 2.032, 1.25, 1.394, 1.984, 0.7538, 1.735, 2.13, 0.6713, 0.8298, 2.032]	A	on	0034.83		20.07.14 - 16:53:43.4859
K2001A 	1.21000e+00 	1.21000e+00 	1.917642	A	on	0037.15		20.07.14 - 16:53:45.8116
Agilent 	1.21000e+00 	1.21000e+00 	0.2771011	A	on	0037.32		20.07.14 - 16:53:45.9801
GUV-3511 		1.21000e+00 	1.21000e+00 	[1.002, 1.241, 1.685, 0.5924, 0.6161, 0.3931, 0.8351, 1.768, 0.5991, 0.2768, 1.189, 1.262, 1.18, 0.309, 0.4617, 2.149, 1.768, 0.8702, 1.791]	A	on	0037.39		20.07.14 - 16:53:46.4928
K2001A 	1.21500e+00 	1.21500e+00 	0.6393168	A	on	0039.61		20.07.14 - 16:53:48.2691
Agilent 	1.21500e+00 	1.21500e+00 	1.613531	A	on	0039.73		20.07.14 - 16:53:48.3883
GUV-3511 		1.21500e+00 	1.21500e+00 	[0.3002, 1.681, 2.193, 0.7121, 0.5601, 1.664, 2.01, 1.462, 1.844, 0.2166, 1.916, 0.8534, 0.3966, 2.046, 0.628, 1.859, 1.674, 1.178, 1.1]	A	on	0039.78		20.07.14 - 16:53:48.4400
K2001A 	1.22000e+00 	1.22000e+00 	1.158286	A	on	0042.37		20.07.14 - 16:53:51.3007
Agilent 	1.22000e+00 	1.22000e+00 	1.105492	A	on	0042.47		20.07.14 - 16:53:51.1327
GUV-3511 		1.22000e+00 	1.22000e+00 	[1.262, 1.424, 1.351, 0.9775, 0.9706, 0.6179, 0.7409, 0.7101, 1.523, 0.2455, 1.802, 0.4916, 0.8826, 0.2283, 0.764, 0.6534, 0.9159, 2.095, 1.583]	A	on	0042.53		20.07.14 - 16:53:51.1869
K2001A 	1.22500e+00 	1.22500e+00 	1.6915	A	on	0044.92		20.07.14 - 16:53:53.5816
Agilent 	1.22500e+00 	1.22500e+00 	0.6156954	A	on	0045.04		20.07.14 - 16:53:53.6952
GUV-3511 		1.22500e+00 	1.22500e+00 	[2.193, 0.9076, 2.192, 1.776, 1.145, 0.3316, 1.335, 1.575, 0.5629, 2.208, 1.499, 1.853, 1.698, 1.084, 0.3137, 0.7581, 1.299, 2.094, 0.3096]	A	on	0045.28		20.07.14 - 16:53:53.9335
K2001A 	1.23000e+00 	1.23000e+00 	0.75893	A	on	0047.47		20.07.14 - 16:53:56.1255
Agilent 	1.23000e+00 	1.23000e+00 	2.165703	A	on	0047.57		20.07.14 - 16:53:56.2259
GUV-3511 		1.23000e+00 	1.23000e+00 	[0.256, 1.198, 0.9457, 1.202, 2.049, 2.11, 1.956, 1.903, 0.7228, 1.451, 1.235, 0.4337, 1.077, 1.661, 1.224, 0.3644, 1.957, 1.52, 1.151]	A	on	0047.87		20.07.14 - 16:53:56.5230
K2001A 	1.23500e+00 	1.23500e+00 	0.9752697	A	on	0050.06		20.07.14 - 16:53:58.7190
Agilent 	1.23500e+00 	1.23500e+00 	0.7340142	A	on	0050.16		20.07.14 - 16:53:58.8213
GUV-3511 		1.23500e+00 	1.23500e+00 	[0.7414, 1.11, 1.339, 0.3781, 0.87, 2.121, 1.989, 1.444, 0.5913, 0.8254, 0.619, 0.9801, 0.7057, 1.574, 0.8683, 2.119, 1.082, 0.8144, 1.741]	A	on	0050.33		20.07.14 - 16:53:58.9890
K2001A 	1.24000e+00 	1.24000e+00 	1.622035	A	on	0052.65		20.07.14 - 16:54:01.3097
Agilent 	1.24000e+00 	1.24000e+00 	1.277586	A	on	0052.75		20.07.14 - 16:54:01.4120
GUV-3511 		1.24000e+00 	1.24000e+00 	[2.161, 1.946, 2.166, 0.7418, 1.229, 1.103, 1.67, 0.2681, 0.5805, 2.155, 1.646, 1.367, 0.7893, 2.066, 0.6783, 1.11, 2.079, 0.5826, 0.3389]	A	on	0052.89		20.07.14 - 16:54:01.5467
K2001A 	1.24500e+00 	1.24500e+00 	0.7431728	A	on	0055.18		20.07.14 - 16:54:03.8339
Agilent 	1.24500e+00 	1.24500e+00 	0.5616994	A	on	0055.29		20.07.14 - 16:54:03.9492
GUV-3511 		1.24500e+00 	1.24500e+00 	[0.707, 1.989, 1.02, 1.93, 2.221, 2.061, 1.762, 1.519, 0.7975, 1.888, 1.617, 0.6518, 0.4139, 2.245, 1.714, 2.043, 0.6574, 0.3295, 1.899]	A	on	0055.42		20.07.14 - 16:54:04.7644
K2001A 	1.25000e+00 	1.25000e+00 	1.480187	A	on	0057.72		20.07.14 - 16:54:06.3729
Agilent 	1.25000e+00 	1.25000e+00 	1.810651	A	on	0057.90		20.07.14 - 16:54:06.5601
GUV-3511 		1.25000e+00 	1.25000e+00 	[2.191, 2.149, 0.8015, 1.503, 0.7711, 1.823, 1.049, 1.391, 0.7407, 1.341, 1.829, 0.8758, 1.909, 1.415, 1.151, 2.079, 1.14, 1.037, 1.292]	A	on	0058.32		20.07.14 - 16:54:06.9774
