Detector type	MS257_IN [um]	MS257_OUT [um]	Signal	Mirror pos.	Shut.	Timetr.[s]	Abs date and time
GUV 		None 	1.15000e+00 	[10.69002, 18.86738, 11.60083, 11.68649, 15.04299]	A	?	0003.61		181025 12:32:47.9026
GUV 		None 	1.15000e+00 	[14.37179, 15.95428, 19.1275, 16.73126, 11.60136]	B	?	0007.25		181025 12:32:51.5426
GUV 		None 	1.15500e+00 	[10.18218, 19.12533, 8.801418, 11.60068, 7.181849]	A	?	0010.86		181025 12:32:55.1539
GUV 		None 	1.15500e+00 	[9.584957, 4.764628, 5.789043, 13.3517, 3.62846]	B	?	0014.48		181025 12:32:58.7693
GUV 		None 	1.16000e+00 	[4.255605, 7.952969, 16.09208, 17.46042, 0.5908177]	A	?	0018.09		181025 12:33:02.3846
GUV 		None 	1.16000e+00 	[8.081137, 10.91949, 17.31987, 14.45769, 3.582074]	B	?	0021.71		181025 12:33:05.9993
GUV 		None 	1.16500e+00 	[18.39835, 14.69503, 14.38975, 13.47263, 5.855246]	A	?	0025.32		181025 12:33:09.6131
GUV 		None 	1.16500e+00 	[9.149367, 11.95681, 19.65995, 13.46625, 11.38465]	B	?	0028.93		181025 12:33:13.2252
GUV 		None 	1.17000e+00 	[-0.5312739, 6.213857, 14.63975, 10.55104, 5.355768]	A	?	0032.55		181025 12:33:16.8449
GUV 		None 	1.17000e+00 	[6.37177, 17.44503, 12.36229, 9.60746, 16.18238]	B	?	0036.16		181025 12:33:20.4541
GUV 		None 	1.17500e+00 	[7.430733, 2.373893, 1.343831, 5.695907, 15.26911]	A	?	0039.78		181025 12:33:24.7029
GUV 		None 	1.17500e+00 	[-0.02512576, -0.5121139, 12.89674, 7.217281, 15.2386]	B	?	0043.39		181025 12:33:27.6846
GUV 		None 	1.18000e+00 	[5.443084, 9.91322, 4.02558, 6.271635, 4.624176]	A	?	0047.03		181025 12:33:31.3232
GUV 		None 	1.18000e+00 	[0.2589222, 14.65253, 4.496283, 18.24877, 8.236615]	B	?	0050.65		181025 12:33:34.9361
GUV 		None 	1.18500e+00 	[7.922839, 15.43006, 12.35952, 5.567425, 13.05305]	A	?	0054.26		181025 12:33:38.5512
GUV 		None 	1.18500e+00 	[19.10342, 19.82028, 17.67087, 15.06512, 17.12787]	B	?	0057.87		181025 12:33:42.1632
GUV 		None 	1.19000e+00 	[0.7898678, 11.57728, 8.000743, 10.32589, 15.23062]	A	?	0061.49		181025 12:33:45.7789
GUV 		None 	1.19000e+00 	[1.53752, 18.40369, 6.903913, 16.88403, 0.6707643]	B	?	0065.10		181025 12:33:49.3899
GUV 		None 	1.19500e+00 	[14.0852, 14.93064, 7.913667, 19.18924, -0.09885392]	A	?	0068.72		181025 12:33:53.1509
GUV 		None 	1.19500e+00 	[17.43846, 8.242979, 7.244117, 4.716865, 15.12493]	B	?	0072.34		181025 12:33:56.6276
GUV 		None 	1.20000e+00 	[2.613395, -0.8431262, 2.315886, 5.926139, 0.8732299]	A	?	0075.99		181025 12:34:00.2813
GUV 		None 	1.20000e+00 	[14.60211, 12.1619, 16.08142, 2.959448, 0.7761066]	B	?	0079.62		181025 12:34:03.9095
GUV 		None 	1.20500e+00 	[13.4367, 1.309618, 17.15701, 15.83044, -0.9222124]	A	?	0083.24		181025 12:34:07.5303
GUV 		None 	1.20500e+00 	[13.07055, 13.19123, 3.279475, 0.163964, 6.520334]	B	?	0086.89		181025 12:34:11.1854
GUV 		None 	1.21000e+00 	[14.19299, 11.63075, 0.9853828, 4.723673, 5.232295]	A	?	0090.51		181025 12:34:14.8034
GUV 		None 	1.21000e+00 	[7.36888, 17.34695, 8.328258, 19.0923, 8.665489]	B	?	0094.16		181025 12:34:18.4547
GUV 		None 	1.21500e+00 	[11.39277, 6.811464, 12.23971, 1.640006, 19.04596]	A	?	0097.84		181025 12:34:22.1337
GUV 		None 	1.21500e+00 	[17.79943, 0.4579518, 4.217158, 12.69697, -0.7939984]	B	?	0101.50		181025 12:34:25.7954
