Your edit line - keep this line!
Wl[nm]	Volt.[V]	Pos.	Shut.	Timetr.[s]	Abs date and time
3.9998716000000004e-07 	0.0013454		A	1	0006.36		180602 21:04:24.1697
3.9998716000000004e-07 	0.0013455		A	0	0007.09		180602 21:04:24.9197
3.9998716000000004e-07 	0.0013446		B	1	0010.93		180602 21:04:28.7598
3.9998716000000004e-07 	0.0013447		B	0	0011.77		180602 21:04:29.5798
4.1999418e-07 	0.0013436		A	1	0016.86		180602 21:04:34.6789
4.1999418e-07 	0.0013435		A	0	0017.65		180602 21:04:35.4599
4.1999418e-07 	0.0013433		B	1	0021.45		180602 21:04:39.2399
4.1999418e-07 	0.0013432		B	0	0022.17		180602 21:04:39.9799
4.3998995000000004e-07 	0.0013426		A	1	0027.20		180602 21:04:45.9967
4.3998995000000004e-07 	0.0013425		A	0	0027.99		180602 21:04:45.7800
4.3998995000000004e-07 	0.0013421		B	1	0031.80		180602 21:04:49.6300
4.3998995000000004e-07 	0.001342		B	0	0032.58		180602 21:04:50.3900
4.5999771e-07 	0.0013401		A	1	0037.63		180602 21:04:55.4401
4.5999771e-07 	0.0013398		A	0	0038.42		180602 21:04:56.2341
4.5999771e-07 	0.0013387		B	1	0042.23		180602 21:05:00.2013
4.5999771e-07 	0.0013386		B	0	0042.99		180602 21:05:00.8301
4.8001291e-07 	0.00134		A	1	0048.13		180602 21:05:05.9202
4.8001291e-07 	0.0013396		A	0	0048.88		180602 21:05:06.6812
4.8001291e-07 	0.001339		B	1	0052.68		180602 21:05:10.4702
4.8001291e-07 	0.0013391		B	0	0053.42		180602 21:05:11.2303
5.000037600000001e-07 	0.0013378		A	1	0058.52		180602 21:05:16.3103
5.000037600000001e-07 	0.0013381		A	0	0059.25		180602 21:05:17.8032
5.000037600000001e-07 	0.0013373		B	1	0063.05		180602 21:05:20.8804
5.000037600000001e-07 	0.0013375		B	0	0063.89		180602 21:05:21.7204
