Your edit line - keep this line!
Detector type	MS257_IN [nm]	MS257_OUT [nm]	Volt.[V]		Pos.	Shut.	Timetr.[s]	Abs date and time
Keithley 	2193.00000 	2051.00000 	4.590000e+02		?	ON	0001.68		180619 14:17:57.6966
Agilent 	2193.00000 	2051.00000 	3.870000e+02		?	ON	0001.68		180619 14:17:57.6970
Keithley 	2193.00000 	2051.00000 	1.670000e+02		?	OFF	0002.40		180619 14:17:57.7892
Agilent 	2193.00000 	2051.00000 	7.500000e+02		?	OFF	0002.40		180619 14:17:57.7899
Keithley 	2320.00000 	1860.00000 	6.040000e+02		?	ON	0004.13		180619 14:17:59.5215
Agilent 	2320.00000 	1860.00000 	6.200000e+01		?	ON	0004.13		180619 14:17:59.5228
Keithley 	2320.00000 	1860.00000 	6.200000e+02		?	OFF	0004.86		180619 14:18:00.2505
Agilent 	2320.00000 	1860.00000 	8.800000e+02		?	OFF	0004.86		180619 14:18:00.2508
Keithley 	2353.00000 	63.00000 	1.910000e+02		?	ON	0006.58		180619 14:18:01.9624
Agilent 	2353.00000 	63.00000 	6.850000e+02		?	ON	0006.58		180619 14:18:01.9625
Keithley 	2353.00000 	63.00000 	1.018000e+03		?	OFF	0007.30		180619 14:18:02.6874
Agilent 	2353.00000 	63.00000 	5.780000e+02		?	OFF	0007.30		180619 14:18:02.6874
Keithley 	1708.00000 	2235.00000 	7.570000e+02		?	ON	0009.01		180619 14:18:04.4034
Agilent 	1708.00000 	2235.00000 	6.810000e+02		?	ON	0009.01		180619 14:18:04.4045
Keithley 	1708.00000 	2235.00000 	1.023000e+03		?	OFF	0009.74		180619 14:18:05.1306
Agilent 	1708.00000 	2235.00000 	6.380000e+02		?	OFF	0009.74		180619 14:18:05.1308
Keithley 	35.00000 	784.00000 	4.480000e+02		?	ON	0011.46		180619 14:18:06.8483
Agilent 	35.00000 	784.00000 	6.480000e+02		?	ON	0011.46		180619 14:18:06.8484
Keithley 	35.00000 	784.00000 	9.160000e+02		?	OFF	0012.17		180619 14:18:07.5797
Agilent 	35.00000 	784.00000 	5.630000e+02		?	OFF	0012.17		180619 14:18:07.5798
Keithley 	1509.00000 	1634.00000 	7.780000e+02		?	ON	0013.93		180619 14:18:09.3283
Agilent 	1509.00000 	1634.00000 	2.110000e+02		?	ON	0013.93		180619 14:18:09.3311
Keithley 	1509.00000 	1634.00000 	1.300000e+01		?	OFF	0014.67		180619 14:18:10.6514
Agilent 	1509.00000 	1634.00000 	7.500000e+01		?	OFF	0014.67		180619 14:18:10.6623
Keithley 	263.00000 	1435.00000 	8.370000e+02		?	ON	0016.41		180619 14:18:11.7995
Agilent 	263.00000 	1435.00000 	2.910000e+02		?	ON	0016.41		180619 14:18:11.7996
Keithley 	263.00000 	1435.00000 	3.180000e+02		?	OFF	0017.13		180619 14:18:12.5189
Agilent 	263.00000 	1435.00000 	5.540000e+02		?	OFF	0017.13		180619 14:18:12.5200
Keithley 	1555.00000 	39.00000 	4.880000e+02		?	ON	0018.49		180619 14:18:13.8756
Agilent 	1555.00000 	39.00000 	9.880000e+02		?	ON	0018.49		180619 14:18:13.8757
