Detector type	MS257_IN [nm]	MS257_OUT [nm]	Volt.[V]	Pos.	Shut.	Timetr.[s]	Abs date and time
Keithley 	798.00000 	784.00000 	6.420000e+02	A	on	0004.21		181009 12:11:10.5444
Agilent 	798.00000 	784.00000 	6.100000e+02	A	on	0004.21		181009 12:11:10.5452
GUV 		798.00000 	784.00000 	[0.4363863, 0.9002319, 0.5418256, 0.3487308, 0.401905, 0.8983106, 0.7020746, 0.644059, 0.3852079, 0.7168495, 0.2297733, 0.6489868, 0.6502477, 0.5160115, 0.4823049, 0.9450084, 0.7799681, 0.9135149, 0.4580601, 0.7103694]	A	on	0004.21		181009 12:11:10.5454
Keithley 	798.00000 	784.00000 	6.440000e+02	A	off	0005.43		181009 12:11:11.7761
Agilent 	798.00000 	784.00000 	1.140000e+02	A	off	0005.43		181009 12:11:11.7762
GUV 		798.00000 	784.00000 	[0.200036, 0.0438975, 0.4571625, 0.1099322, 0.1473279, 0.1265547, 0.5967783, 0.08851447, 0.9062378, 0.3950084, 0.6650958, 0.8232722, 0.01481856, 0.2785805, 0.2404845, 0.8094985, 0.6257422, 0.6163358, 0.6585663, 0.909337]	A	off	0005.43		181009 12:11:11.7762
Keithley 	1738.00000 	2340.00000 	6.480000e+02	A	on	0009.66		181009 12:11:16.1450
Agilent 	1738.00000 	2340.00000 	7.720000e+02	A	on	0009.66		181009 12:11:16.1757
GUV 		1738.00000 	2340.00000 	[0.2114906, 0.7062972, 0.9320321, 0.1439504, 0.6474547, 0.8299592, 0.5415261, 0.168933, 0.311388, 0.747773, 0.2417332, 0.5939155, 0.8263162, 0.8153561, 0.4256531, 0.5810112, 0.8923757, 0.6343978, 0.220475, 0.2442951]	A	on	0009.66		181009 12:11:16.1924
Keithley 	1738.00000 	2340.00000 	7.370000e+02	A	off	0010.87		181009 12:11:17.2109
Agilent 	1738.00000 	2340.00000 	7.280000e+02	A	off	0010.87		181009 12:11:17.2117
GUV 		1738.00000 	2340.00000 	[0.4126827, 0.1215368, 0.1959128, 0.5528418, 0.855744, 0.7114203, 0.6552348, 0.6308769, 0.5305644, 0.01338892, 0.9405545, 0.1609742, 0.9893722, 0.3387549, 0.01829684, 0.3962926, 0.1621815, 0.2527275, 0.2044746, 0.7298172]	A	off	0010.87		181009 12:11:17.2118
Keithley 	2233.00000 	2404.00000 	9.250000e+02	A	on	0015.09		181009 12:11:21.4425
Agilent 	2233.00000 	2404.00000 	6.450000e+02	A	on	0015.09		181009 12:11:21.4426
GUV 		2233.00000 	2404.00000 	[0.4448396, 0.2687639, 0.06451974, 0.7998363, 0.7771349, 0.379131, 0.5613969, 0.2688276, 0.9756084, 0.1273617, 0.5360087, 0.864586, 0.4144181, 0.3859558, 0.7390746, 0.4071561, 0.1204598, 0.005990454, 0.3354224, 0.8109452]	A	on	0015.09		181009 12:11:21.4426
Keithley 	2233.00000 	2404.00000 	5.690000e+02	A	off	0016.34		181009 12:11:22.6747
Agilent 	2233.00000 	2404.00000 	9.930000e+02	A	off	0016.34		181009 12:11:22.6751
GUV 		2233.00000 	2404.00000 	[0.0100794, 0.4007843, 0.8363319, 0.5084966, 0.872311, 0.8961336, 0.169009, 0.9727949, 0.5221797, 0.942266, 0.2495528, 0.8432479, 0.9360384, 0.6537086, 0.3637519, 0.4714378, 0.5704096, 0.8822814, 0.7396996, 0.6784627]	A	off	0016.34		181009 12:11:22.6754
Keithley 	2033.00000 	1717.00000 	6.760000e+02	A	on	0020.57		181009 12:11:26.9143
Agilent 	2033.00000 	1717.00000 	1.040000e+02	A	on	0020.57		181009 12:11:26.9195
GUV 		2033.00000 	1717.00000 	[0.01881835, 0.4656798, 0.7092574, 0.3258199, 0.9513328, 0.1477256, 0.543504, 0.3085237, 0.07105433, 0.7195657, 0.2805971, 0.7938824, 0.4550221, 0.3997669, 0.3427848, 0.5553992, 0.8413227, 0.982228, 0.8173631, 0.1093372]	A	on	0020.57		181009 12:11:26.9297
Keithley 	2033.00000 	1717.00000 	1.300000e+01	A	off	0021.81		181009 12:11:28.1584
Agilent 	2033.00000 	1717.00000 	5.980000e+02	A	off	0021.81		181009 12:11:28.1584
GUV 		2033.00000 	1717.00000 	[0.6396618, 0.9599678, 0.639359, 0.5566998, 0.2002048, 0.6199534, 0.08443371, 0.117186, 0.2833817, 0.7074441, 0.4140027, 0.636266, 0.9341281, 0.8841618, 0.2390111, 0.1788218, 0.1933558, 0.5131768, 0.4505685, 0.3322274]	A	off	0021.81		181009 12:11:28.1587
