Your edit line - keep this line!
Wavelength[nm]	Volt.[V]		Pos.	Shut.	Timetr.[s]	Abs date and time
0500.00 	5.220000e+02		A	ON	0002.69		180614 15:44:52.1140
0500.00 	1.110000e+02		A	ON	0002.69		180614 15:44:52.1140
0500.00 	4.570000e+02		A	OFF	0003.40		180614 15:44:52.8313
0500.00 	9.000000e+01		A	OFF	0003.40		180614 15:44:52.8313
0510.00 	4.190000e+02		A	ON	0006.12		180614 15:44:55.5442
0510.00 	5.550000e+02		A	ON	0006.12		180614 15:44:55.5442
0510.00 	7.290000e+02		A	OFF	0006.82		180614 15:44:56.2483
0510.00 	1.070000e+02		A	OFF	0006.82		180614 15:44:56.2484
0520.00 	4.460000e+02		A	ON	0009.54		180614 15:44:58.9768
0520.00 	3.800000e+01		A	ON	0009.54		180614 15:44:58.9775
0520.00 	5.410000e+02		A	OFF	0010.26		180614 15:44:59.6915
0520.00 	9.300000e+02		A	OFF	0010.26		180614 15:44:59.6950
0530.00 	8.300000e+01		A	ON	0012.97		180614 15:45:02.4103
0530.00 	5.520000e+02		A	ON	0012.97		180614 15:45:02.4139
0530.00 	5.160000e+02		A	OFF	0013.71		180614 15:45:03.1484
0530.00 	5.000000e+01		A	OFF	0013.71		180614 15:45:03.1487
0540.00 	4.020000e+02		A	ON	0016.43		180614 15:45:05.8612
0540.00 	5.470000e+02		A	ON	0016.43		180614 15:45:05.8613
0540.00 	1.100000e+01		A	OFF	0017.15		180614 15:45:06.5778
0540.00 	7.060000e+02		A	OFF	0017.15		180614 15:45:06.5778
